Airport_code,Airport_Name,Country,Runway_Count,Timezone
KGF,Sary-Arka Airport,KZ,1.0,TBD
GYD,Heydar Aliyev International Airport,AZ,2.0,TBD
EVN,Zvartnots International Airport,AM,1.0,TBD
TBS,Tbilisi International Airport,GE,2.0,TBD
KHV,Khabarovsk-Novy Airport,RU,2.0,TBD
KBP,Boryspil International Airport,UA,2.0,TBD
SIP,Simferopol International Airport,UA,2.0,TBD
HRK,Kharkiv International Airport,UA,1.0,TBD
ODS,Odessa International Airport,UA,3.0,TBD
LED,Pulkovo Airport,RU,2.0,TBD
MSQ,Minsk National Airport,BY,2.0,TBD
KJA,Yemelyanovo Airport,RU,1.0,TBD
OVB,Tolmachevo Airport,RU,2.0,TBD
ROV,Platov International Airport,RU,1.0,TBD
AER,Sochi International Airport,RU,2.0,TBD
SVX,Koltsovo Airport,RU,2.0,TBD
ASB,Ashgabat International Airport,TM,3.0,TBD
TAS,Tashkent International Airport,UZ,2.0,TBD
ZIA,Zhukovsky International Airport,RU,1.0,TBD
DME,Domodedovo International Airport,RU,3.0,TBD
SVO,Sheremetyevo International Airport,RU,3.0,TBD
VKO,Vnukovo International Airport,RU,2.0,TBD
KZN,Kazan International Airport,RU,2.0,TBD
UFA,Ufa International Airport,RU,5.0,TBD
KUF,Kurumoch International Airport,RU,2.0,TBD
BOM,Chhatrapati Shivaji International Airport,IN,2.0,TBD
GOI,Dabolim Airport,IN,1.0,TBD
CMB,Bandaranaike International Colombo Airport,LK,1.0,TBD
HRI,Mattala Rajapaksa International Airport,LK,1.0,TBD
PNH,Phnom Penh International Airport,KH,1.0,TBD
REP,Siem Reap International Airport,KH,,TBD
CCU,Netaji Subhash Chandra Bose International Airport,IN,2.0,TBD
DAC,Hazrat Shahjalal International Airport,BD,1.0,TBD
HKG,Hong Kong International Airport,HK,3.0,TBD
ATQ,Sri Guru Ram Dass Jee International Airport,IN,1.0,TBD
DEL,Indira Gandhi International Airport,IN,4.0,TBD
MFM,Macau International Airport,MO,1.0,TBD
KTM,Tribhuvan International Airport,NP,1.0,TBD
BLR,Kempegowda International Airport,IN,2.0,TBD
COK,Cochin International Airport,IN,1.0,TBD
CCJ,Calicut International Airport,IN,1.0,TBD
HYD,Rajiv Gandhi International Airport,IN,2.0,TBD
MAA,Chennai International Airport,IN,2.0,TBD
TRV,Trivandrum International Airport,IN,1.0,TBD
MLE,MalÃ© International Airport,MV,1.0,TBD
DMK,Don Mueang International Airport,TH,2.0,TBD
BKK,Suvarnabhumi Airport,TH,2.0,TBD
CNX,Chiang Mai International Airport,TH,1.0,TBD
HKT,Phuket International Airport,TH,1.0,TBD
DAD,Da Nang International Airport,VN,2.0,TBD
HAN,Noi Bai International Airport,VN,2.0,TBD
SGN,Tan Son Nhat International Airport,VN,2.0,TBD
MDL,Mandalay International Airport,MM,1.0,TBD
RGN,Yangon International Airport,MM,1.0,TBD
UPG,Hasanuddin International Airport,ID,2.0,TBD
DPS,Ngurah Rai (Bali) International Airport,ID,1.0,TBD
DJJ,Sentani International Airport,ID,1.0,TBD
SUB,Juanda International Airport,ID,1.0,TBD
SOQ,Dominique Edward Osok Airport,ID,1.0,TBD
BWN,Brunei International Airport,BN,1.0,TBD
CGK,Soekarno-Hatta International Airport,ID,3.0,TBD
KNO,Kualanamu International Airport,ID,1.0,TBD
KUL,Kuala Lumpur International Airport,MY,3.0,TBD
SIN,Singapore Changi Airport,SG,3.0,TBD
BNE,Brisbane International Airport,AU,3.0,TBD
MEL,Melbourne International Airport,AU,2.0,TBD
YNT,Yantai Penglai International Airport,CN,1.0,TBD
ADL,Adelaide International Airport,AU,2.0,TBD
PER,Perth International Airport,AU,2.0,TBD
CBR,Canberra International Airport,AU,2.0,TBD
SYD,Sydney Kingsford Smith International Airport,AU,3.0,TBD
PEK,Beijing Capital International Airport,CN,3.0,TBD
PKX,Beijing Daxing International Airport,CN,4.0,TBD
HET,Baita International Airport,CN,2.0,TBD
NAY,Beijing Nanyuan Airport,CN,1.0,TBD
TSN,Tianjin Binhai International Airport,CN,2.0,TBD
TYN,Taiyuan Wusu Airport,CN,1.0,TBD
CAN,Guangzhou Baiyun International Airport,CN,3.0,TBD
CSX,Changsha Huanghua International Airport,CN,2.0,TBD
KWL,Guilin Liangjiang International Airport,CN,1.0,TBD
NNG,Nanning Wuxu Airport,CN,1.0,TBD
SZX,Shenzhen Bao'an International Airport,CN,2.0,TBD
CGO,Zhengzhou Xinzheng International Airport,CN,2.0,TBD
WUH,Wuhan Tianhe International Airport,CN,2.0,TBD
HAK,Haikou Meilan International Airport,CN,2.0,TBD
SYX,Sanya Phoenix International Airport,CN,1.0,TBD
XIY,Xi'an Xianyang International Airport,CN,2.0,TBD
UBN,Ulaanbaatar International Airport,MN,1.0,TBD
ULN,Buyant-Ukhaa International Airport,MN,2.0,TBD
KMG,Kunming Changshui International Airport,CN,2.0,TBD
XMN,Xiamen Gaoqi International Airport,CN,1.0,TBD
FOC,Fuzhou Changle International Airport,CN,1.0,TBD
HGH,Hangzhou Xiaoshan International Airport,CN,2.0,TBD
TNA,Yaoqiang Airport,CN,1.0,TBD
NGB,Ningbo Lishe International Airport,CN,1.0,TBD
NKG,Nanjing Lukou Airport,CN,2.0,TBD
PVG,Shanghai Pudong International Airport,CN,4.0,TBD
SHA,Shanghai Hongqiao International Airport,CN,2.0,TBD
WNZ,Wenzhou Longwan International Airport,CN,1.0,TBD
CKG,Chongqing Jiangbei International Airport,CN,3.0,TBD
KWE,Longdongbao Airport,CN,2.0,TBD
CTU,Chengdu Shuangliu International Airport,CN,2.0,TBD
URC,ÃrÃ¼mqi Diwopu International Airport,CN,1.0,TBD
HRB,Taiping Airport,CN,1.0,TBD
DLC,Zhoushuizi Airport,CN,1.0,TBD
SHE,Taoxian Airport,CN,1.0,TBD
