Airport_code,Airport_Name,Country,Runway_Count,Timezone
LPA,Gran Canaria Airport,ES,2.0,TBD
TFS,Tenerife South Airport,ES,1.0,TBD
TFN,Tenerife Norte Airport,ES,1.0,TBD
FNA,Lungi International Airport,SL,1.0,TBD
ROB,Roberts International Airport,LR,1.0,TBD
CMN,Mohammed V International Airport,MA,2.0,TBD
DSS,Blaise Diagne International Airport,SN,1.0,TBD
DKR,LÃ©opold SÃ©dar Senghor International Airport,SN,2.0,TBD
NKC,NouakchottâOumtounsy International Airport,MR,2.0,TBD
SID,AmÃ­lcar Cabral International Airport,CV,2.0,TBD
ADD,Addis Ababa Bole International Airport,ET,2.0,TBD
HGA,Egal International Airport,SO,1.0,TBD
CAI,Cairo International Airport,EG,3.0,TBD
HRG,Hurghada International Airport,EG,2.0,TBD
LXR,Luxor International Airport,EG,1.0,TBD
NBO,Jomo Kenyatta International Airport,KE,1.0,TBD
MBA,Mombasa Moi International Airport,KE,2.0,TBD
TIP,Tripoli International Airport,LY,,TBD
KGL,Kigali International Airport,RW,1.0,TBD
JUB,Juba International Airport,SS,1.0,TBD
KRT,Khartoum International Airport,SD,1.0,TBD
DAR,Julius Nyerere International Airport,TZ,2.0,TBD
ZNZ,Abeid Amani Karume International Airport,TZ,1.0,TBD
EBB,Entebbe International Airport,UG,2.0,TBD
AAP,Aji Pangeran Tumenggung Pranoto International Airport,ID,1.0,TBD
ABQ,Albuquerque International Sunport,US,4.0,TBD
ADW,Joint Base Andrews,US,2.0,TBD
AFW,Fort Worth Alliance Airport,US,2.0,TBD
AGS,Augusta Regional At Bush Field,US,2.0,TBD
AMA,Rick Husband Amarillo International Airport,US,2.0,TBD
ATL,Hartsfield Jackson Atlanta International Airport,US,5.0,TBD
AUS,Austin Bergstrom International Airport,US,2.0,TBD
AVL,Asheville Regional Airport,US,1.0,TBD
BAB,Beale Air Force Base,US,1.0,TBD
BAD,Barksdale Air Force Base,US,1.0,TBD
BDL,Bradley International Airport,US,3.0,TBD
BFI,Boeing Field King County International Airport,US,2.0,TBD
BGR,Bangor International Airport,US,1.0,TBD
BHM,Birmingham-Shuttlesworth International Airport,US,2.0,TBD
BIL,Billings Logan International Airport,US,3.0,TBD
BLV,Scott AFB/Midamerica Airport,US,2.0,TBD
BMI,Central Illinois Regional Airport at Bloomington-Normal,US,3.0,TBD
BNA,Nashville International Airport,US,4.0,TBD
BOI,Boise Air Terminal/Gowen Field,US,3.0,TBD
BOS,General Edward Lawrence Logan International Airport,US,6.0,TBD
BUF,Buffalo Niagara International Airport,US,2.0,TBD
BWI,Baltimore/Washington International Thurgood Marshall Airport,US,4.0,TBD
CAE,Columbia Metropolitan Airport,US,2.0,TBD
CBM,Columbus Air Force Base,US,3.0,TBD
CHA,Lovell Field,US,2.0,TBD
CHS,Charleston Air Force Base-International Airport,US,2.0,TBD
CID,The Eastern Iowa Airport,US,2.0,TBD
CLE,Cleveland Hopkins International Airport,US,4.0,TBD
CLT,Charlotte Douglas International Airport,US,4.0,TBD
CMH,John Glenn Columbus International Airport,US,2.0,TBD
COS,City of Colorado Springs Municipal Airport,US,3.0,TBD
CRP,Corpus Christi International Airport,US,2.0,TBD
CRW,Yeager Airport,US,2.0,TBD
CVG,Cincinnati Northern Kentucky International Airport,US,4.0,TBD
CVS,Cannon Air Force Base,US,2.0,TBD
DAB,Daytona Beach International Airport,US,3.0,TBD
DAL,Dallas Love Field,US,3.0,TBD
DAY,James M Cox Dayton International Airport,US,3.0,TBD
DBQ,Dubuque Regional Airport,US,2.0,TBD
DCA,Ronald Reagan Washington National Airport,US,3.0,TBD
DEN,Denver International Airport,US,6.0,TBD
DFW,Dallas Fort Worth International Airport,US,7.0,TBD
DLF,DLF Airport,US,3.0,TBD
DLH,Duluth International Airport,US,2.0,TBD
DOV,Dover Air Force Base,US,2.0,TBD
DSM,Des Moines International Airport,US,2.0,TBD
DTW,Detroit Metropolitan Wayne County Airport,US,6.0,TBD
DYS,Dyess Air Force Base,US,3.0,TBD
EDW,Edwards Air Force Base,US,3.0,TBD
END,Vance Air Force Base,US,4.0,TBD
ERI,Erie International Tom Ridge Field,US,2.0,TBD
EWR,Newark Liberty International Airport,US,3.0,TBD
FFO,Wright-Patterson Air Force Base,US,2.0,TBD
FLL,Fort Lauderdale Hollywood International Airport,US,3.0,TBD
FSM,Fort Smith Regional Airport,US,2.0,TBD
FTW,Fort Worth Meacham International Airport,US,3.0,TBD
FWA,Fort Wayne International Airport,US,3.0,TBD
GEG,Spokane International Airport,US,2.0,TBD
GPT,Gulfport Biloxi International Airport,US,3.0,TBD
GRB,Austin Straubel International Airport,US,3.0,TBD
GSB,Seymour Johnson Air Force Base,US,1.0,TBD
GSO,Piedmont Triad International Airport,US,3.0,TBD
GSP,Greenville Spartanburg International Airport,US,1.0,TBD
GUS,Grissom Air Reserve Base,US,1.0,TBD
HIB,Range Regional Airport,US,2.0,TBD
HMN,Holloman Air Force Base,US,3.0,TBD
HOU,William P Hobby Airport,US,4.0,TBD
HSV,Huntsville International Carl T Jones Field,US,2.0,TBD
HTS,Tri-State/Milton J. Ferguson Field,US,2.0,TBD
IAD,Washington Dulles International Airport,US,4.0,TBD
IAH,George Bush Intercontinental Houston Airport,US,5.0,TBD
ICT,Wichita Eisenhower National Airport,US,3.0,TBD
IND,Indianapolis International Airport,US,3.0,TBD
JAN,Jackson-Medgar Wiley Evers International Airport,US,2.0,TBD
JAX,Jacksonville International Airport,US,2.0,TBD
JFK,John F Kennedy International Airport,US,4.0,TBD
JLN,Joplin Regional Airport,US,3.0,TBD
LAS,McCarran International Airport,US,4.0,TBD
LAX,Los Angeles International Airport,US,4.0,TBD
LBB,Lubbock Preston Smith International Airport,US,3.0,TBD
LCK,Rickenbacker International Airport,US,3.0,TBD
LEX,Blue Grass Airport,US,2.0,TBD
LFI,Langley Air Force Base,US,1.0,TBD
LFT,Lafayette Regional Airport,US,3.0,TBD
LGA,La Guardia Airport,US,3.0,TBD
LIT,Bill & Hillary Clinton National Airport/Adams Field,US,3.0,TBD
LTS,Altus Air Force Base,US,4.0,TBD
LUF,Luke Air Force Base,US,2.0,TBD
MBS,MBS International Airport,US,2.0,TBD
MCF,Mac Dill Air Force Base,US,1.0,TBD
MCI,Kansas City International Airport,US,3.0,TBD
MCO,Orlando International Airport,US,4.0,TBD
MDW,Chicago Midway International Airport,US,5.0,TBD
MEM,Memphis International Airport,US,4.0,TBD
MGE,Dobbins Air Reserve Base,US,2.0,TBD
MGM,Montgomery Regional (Dannelly Field) Airport,US,2.0,TBD
MHT,Manchester-Boston Regional Airport,US,2.0,TBD
MIA,Miami International Airport,US,4.0,TBD
MKE,General Mitchell International Airport,US,5.0,TBD
MLI,Quad City International Airport,US,3.0,TBD
MLU,Monroe Regional Airport,US,3.0,TBD
MOB,Mobile Regional Airport,US,2.0,TBD
MSN,Dane County Regional Truax Field,US,3.0,TBD
MSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,US,4.0,TBD
MSY,Louis Armstrong New Orleans International Airport,US,3.0,TBD
MUO,Mountain Home Air Force Base,US,2.0,TBD
OAK,Metropolitan Oakland International Airport,US,4.0,TBD
OKC,Will Rogers World Airport,US,4.0,TBD
OMA,Eppley Airfield,US,3.0,TBD
ONT,Ontario International Airport,US,2.0,TBD
ORD,Chicago O'Hare International Airport,US,11.0,TBD
ORF,Norfolk International Airport,US,2.0,TBD
PAM,Tyndall Air Force Base,US,2.0,TBD
PBI,Palm Beach International Airport,US,3.0,TBD
PDX,Portland International Airport,US,3.0,TBD
PHF,Newport News Williamsburg International Airport,US,2.0,TBD
