type,name,iso_country,iata_code
large_airport,Jomo Kenyatta International Airport,KE,NBO
large_airport,Mombasa Moi International Airport,KE,MBA
large_airport,Tripoli International Airport,LY,TIP
large_airport,Kigali International Airport,RW,KGL
large_airport,Juba International Airport,SS,JUB
large_airport,Khartoum International Airport,SD,KRT
large_airport,Julius Nyerere International Airport,TZ,DAR
large_airport,Abeid Amani Karume International Airport,TZ,ZNZ
large_airport,Entebbe International Airport,UG,EBB
large_airport,Aji Pangeran Tumenggung Pranoto International Airport,ID,AAP
large_airport,Albuquerque International Sunport,US,ABQ
large_airport,Joint Base Andrews,US,ADW
large_airport,Fort Worth Alliance Airport,US,AFW
large_airport,Augusta Regional At Bush Field,US,AGS
large_airport,Rick Husband Amarillo International Airport,US,AMA
large_airport,Hartsfield Jackson Atlanta International Airport,US,ATL
large_airport,Austin Bergstrom International Airport,US,AUS
large_airport,Asheville Regional Airport,US,AVL
large_airport,Beale Air Force Base,US,BAB
large_airport,Barksdale Air Force Base,US,BAD
large_airport,Bradley International Airport,US,BDL
large_airport,Boeing Field King County International Airport,US,BFI
large_airport,Bangor International Airport,US,BGR
large_airport,Birmingham-Shuttlesworth International Airport,US,BHM
large_airport,Billings Logan International Airport,US,BIL
large_airport,Scott AFB/Midamerica Airport,US,BLV
large_airport,Central Illinois Regional Airport at Bloomington-Normal,US,BMI
large_airport,Nashville International Airport,US,BNA
large_airport,Boise Air Terminal/Gowen Field,US,BOI
large_airport,General Edward Lawrence Logan International Airport,US,BOS
large_airport,Buffalo Niagara International Airport,US,BUF
large_airport,Baltimore/Washington International Thurgood Marshall Airport,US,BWI
large_airport,Columbia Metropolitan Airport,US,CAE
large_airport,Columbus Air Force Base,US,CBM
large_airport,Lovell Field,US,CHA
large_airport,Charleston Air Force Base-International Airport,US,CHS
large_airport,The Eastern Iowa Airport,US,CID
large_airport,Cleveland Hopkins International Airport,US,CLE
large_airport,Charlotte Douglas International Airport,US,CLT
large_airport,John Glenn Columbus International Airport,US,CMH
large_airport,City of Colorado Springs Municipal Airport,US,COS
large_airport,Corpus Christi International Airport,US,CRP
large_airport,Yeager Airport,US,CRW
large_airport,Cincinnati Northern Kentucky International Airport,US,CVG
large_airport,Cannon Air Force Base,US,CVS
large_airport,Daytona Beach International Airport,US,DAB
large_airport,Dallas Love Field,US,DAL
large_airport,James M Cox Dayton International Airport,US,DAY
large_airport,Dubuque Regional Airport,US,DBQ
large_airport,Ronald Reagan Washington National Airport,US,DCA
large_airport,Denver International Airport,US,DEN
large_airport,Dallas Fort Worth International Airport,US,DFW
large_airport,DLF Airport,US,DLF
large_airport,Duluth International Airport,US,DLH
large_airport,Dover Air Force Base,US,DOV
large_airport,Des Moines International Airport,US,DSM
large_airport,Detroit Metropolitan Wayne County Airport,US,DTW
large_airport,Dyess Air Force Base,US,DYS
large_airport,Edwards Air Force Base,US,EDW
large_airport,Vance Air Force Base,US,END
large_airport,Erie International Tom Ridge Field,US,ERI
large_airport,Newark Liberty International Airport,US,EWR
large_airport,Wright-Patterson Air Force Base,US,FFO
large_airport,Fort Lauderdale Hollywood International Airport,US,FLL
large_airport,Fort Smith Regional Airport,US,FSM
large_airport,Fort Worth Meacham International Airport,US,FTW
large_airport,Fort Wayne International Airport,US,FWA
large_airport,Spokane International Airport,US,GEG
large_airport,Gulfport Biloxi International Airport,US,GPT
large_airport,Austin Straubel International Airport,US,GRB
large_airport,Seymour Johnson Air Force Base,US,GSB
large_airport,Piedmont Triad International Airport,US,GSO
large_airport,Greenville Spartanburg International Airport,US,GSP
large_airport,Grissom Air Reserve Base,US,GUS
large_airport,Range Regional Airport,US,HIB
large_airport,Holloman Air Force Base,US,HMN
large_airport,William P Hobby Airport,US,HOU
large_airport,Huntsville International Carl T Jones Field,US,HSV
large_airport,Tri-State/Milton J. Ferguson Field,US,HTS
large_airport,Washington Dulles International Airport,US,IAD
large_airport,George Bush Intercontinental Houston Airport,US,IAH
large_airport,Wichita Eisenhower National Airport,US,ICT
large_airport,Indianapolis International Airport,US,IND
large_airport,Jackson-Medgar Wiley Evers International Airport,US,JAN
large_airport,Jacksonville International Airport,US,JAX
large_airport,John F Kennedy International Airport,US,JFK
large_airport,Joplin Regional Airport,US,JLN
large_airport,McCarran International Airport,US,LAS
large_airport,Los Angeles International Airport,US,LAX
large_airport,Lubbock Preston Smith International Airport,US,LBB
large_airport,Rickenbacker International Airport,US,LCK
large_airport,Blue Grass Airport,US,LEX
large_airport,Langley Air Force Base,US,LFI
large_airport,Lafayette Regional Airport,US,LFT
large_airport,La Guardia Airport,US,LGA
large_airport,Bill & Hillary Clinton National Airport/Adams Field,US,LIT
large_airport,Altus Air Force Base,US,LTS
large_airport,Luke Air Force Base,US,LUF
large_airport,MBS International Airport,US,MBS
